Temp(V),Res in miliohms-cm
8.802891,0.03285504
8.803404,0.03274096
8.804047,0.03171424
8.804432,0.0325128
8.804689,0.03353952
8.805331,0.0330832
8.805974,0.03388176
8.806231,0.03376768
8.806874,0.03319728
8.807646,0.03376768
8.80816,0.03342544
8.808546,0.0325128
8.80919,0.03319728
8.810091,0.03331136
8.810477,0.03296912
8.810992,0.03285504
8.812409,0.03262688
8.813311,0.03319728
8.814213,0.0336536
8.81576,0.03410992
8.817567,0.03376768
8.818987,0.03399584
8.821053,0.03445216
8.824027,0.03342544
8.827003,0.03262688
8.830631,0.03296912
8.835301,0.03319728
8.84128,0.03353952
8.848444,0.03342544
8.857064,0.03388176
8.868335,0.03342544
8.881758,0.03342544
8.898026,0.03285504
8.918521,0.0336536
8.944272,0.03331136
8.975552,0.0336536
9.013772,0.03376768
9.060876,0.03376768
9.117274,0.0336536
9.184058,0.03319728
9.262786,0.03205648
9.352339,0.03331136
9.448508,0.0330832
9.544431,0.0330832
9.631205,0.03274096
9.700909,0.0319424
9.748171,0.02407088
9.776545,0.02954672
9.792239,0.0290904
9.80038,0.02943264
9.807298,0.02920448
9.815477,0.02943264
9.825104,0.02920448
9.836193,0.0296608
9.849837,0.0290904
9.866972,0.02943264
9.887652,0.0290904
9.912862,0.02931856
9.943813,0.0290904
9.981789,0.02920448
10.027789,0.02920448
10.083682,0.02874816
10.151728,0.02874816
10.233253,0.02931856
10.329615,0.02863408
10.442658,0.02852
10.570373,0.02874816
10.706817,0.02840592
10.841722,0.0279496
10.96519,0.02772144
11.066857,0.02749328
11.741051,0.0268088
11.855124,0.01038128
11.973558,0.03604928
12.087958,0.04289408
12.188962,0.05669776
12.267094,0.07506464
12.318851,0.09605536
12.349938,0.1152208
12.364858,0.13050752
12.369843,0.13735232
12.372695,0.12366272
12.384478,0.14111696
12.386982,0.1443112
12.388413,0.14522384
12.390561,0.14533792
12.393427,0.14613648
12.395937,0.14556608
12.397371,0.14796176
12.399883,0.1477336
12.402037,0.148304
12.403833,0.14853216
12.405989,0.1494448
12.408506,0.15024336
12.410664,0.15047152
12.412464,0.15161232
12.414264,0.154008
12.417147,0.15366576
12.41931,0.15332352
12.421474,0.1545784
12.424361,0.15492064
12.426528,0.15492064
12.427973,0.15560512
12.430142,0.15640368
12.432674,0.15708816
12.434845,0.15811488
12.437017,0.15822896
12.439916,0.15925568
12.442091,0.15948384
12.444267,0.1608528
12.44717,0.16153728
12.450075,0.16176544
12.452619,0.16302032
12.455528,0.16393296
12.45844,0.16495968
12.462081,0.16575824
12.464633,0.16564416
12.467915,0.16689904
12.471565,0.16815392
12.475219,0.1694088
12.478144,0.17043552
12.494635,0.17146224
12.497574,0.18731936
12.499779,0.2504056
12.505666,0.46350704
12.506403,0.46464784
12.508981,0.46613088
12.512299,0.467728
12.514143,0.4688688
12.515988,0.47046592
12.52005,0.47194896
12.522267,0.47331792
12.523007,0.47480096
12.525596,0.476284
12.528556,0.4779952
12.530408,0.47902192
12.531889,0.48050496
12.535967,0.48187392
12.539306,0.48335696
12.540791,0.48461184
12.543391,0.48643712
12.546364,0.487692
12.548595,0.4894032
12.550084,0.49065808
12.553806,0.49191296
12.556787,0.49373824
12.558278,0.49499312
12.560143,0.4968184
12.564621,0.49818736
12.567236,0.49989856
12.569105,0.50172384
12.573219,0.50275056
12.576213,0.5042336
12.576962,0.50571664
12.57921,0.50754192
12.582584,0.50891088
12.58521,0.510508
12.586336,0.51210512
12.590091,0.51347408
12.594225,0.51518528
12.595354,0.51689648
12.598364,0.51837952
12.60213,0.52009072
12.604014,0.52157376
12.604768,0.52328496
12.607785,0.52499616
12.61156,0.52659328
12.613448,0.52807632
12.616094,0.52967344
12.619876,0.5316128
12.622146,0.533324
12.623661,0.53469296
12.626692,0.53663232
12.630862,0.53800128
12.63276,0.54039696
12.638836,0.5435912
12.643019,0.54655728
12.649492,0.5498656
12.65216,0.55374432
12.659792,0.55716672
12.665143,0.56081728
12.67165,0.56401152
12.677399,0.56731984
12.681236,0.57142672
12.688922,0.57484912
12.693154,0.578956
12.702404,0.58249248
12.708968,0.58591488
12.716317,0.59013584
12.72174,0.59424272
12.729111,0.59846368
12.73805,0.60314096
12.74428,0.60759008
12.754814,0.6126096
12.762634,0.61797136
12.774391,0.62390352
12.785786,0.63131872
12.799975,0.63850576
12.819364,0.6479744
12.841631,0.6582416
12.872438,0.67204528
12.978948,0.72075744
13.190633,0.81384672
14.227023,1.12471472
14.249846,1.12528512
14.272232,1.12642592
14.293624,1.12790896
14.317322,1.1288216
14.343361,1.13019056
14.369541,1.13121728
14.391936,1.13315664
14.418384,1.13384112
14.444411,1.13498192
14.472862,1.13646496
14.499759,1.13726352
14.527962,1.13840432
14.556329,1.1396592
14.584864,1.14068592
14.616505,1.14216896
14.64717,1.14273936
14.678028,1.14353792
14.706687,1.14513504
14.737322,1.1459336
14.769361,1.14684624
14.805275,1.14775888
14.841452,1.1487856
14.874797,1.15015456
14.910863,1.15083904
14.947193,1.15186576
14.984423,1.15357696
15.02704,1.15437552
15.068735,1.15506
15.113377,1.15631488
15.163667,1.157912
15.222425,1.15825424
15.293305,1.16007952
15.38297,1.16213296
15.505717,1.16749472
15.679848,1.16315968
15.936381,1.17091712
16.324196,1.17627888
16.903085,1.1852912
19.74734,1.22556144
19.780767,1.22601776
19.817294,1.22647408
19.846661,1.22727264
19.882075,1.22738672
19.920655,1.22852752
19.956468,1.22875568
19.995483,1.22932608
20.025652,1.22989648
20.066596,1.23046688
20.107793,1.23103728
20.144626,1.23137952
20.363596,1.23274848
20.400257,1.23252032
